gates_id_pre_sanitize,source_id,component_id,centroid_local_xy,centroid_source_xy,longitude,latitude,nearest_named_location,nearest_location_dist_px,country_sea_region_guess,area,vertex_count,rectangularity,neighbor_count,source_terrain_id,source_continent_id,source_is_water,source_ring_vertex_count,screenshot_filename,proposed_action,evidence,confidence,owner_ruling,review_bucket,previous_generic_reason,owner_review_status
e3_0085,85,L000,"[1009.56, 2893.33]","[8085.56, 3035.33]",-16.1036,24.9992,Gibraltar,0.9,other,86.0,9,0.86,2,8,2,False,9,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Gibraltar 0.9px lon/lat -16.1036,24.9992",medium,pending,restore_legitimate,"No proven defect; nearest Gibraltar 0.9px lon/lat -16.1036,24.9992",proposed
e3_0181,181,L000,"[1875.29, 2401.43]","[8951.29, 2543.43]",1.445,34.7229,San Marino,1.9,other,49.0,14,0.5444,4,5,2,False,14,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest San Marino 1.9px lon/lat 1.445,34.7229",medium,pending,restore_legitimate,"No proven defect; nearest San Marino 1.9px lon/lat 1.445,34.7229",proposed
e3_1736,3218,L000,"[2527.4, 2761.8]","[9603.4, 2903.8]",14.6635,27.5993,Mesta,10.6,other,1120.0,5,0.9697,2,5,2,False,5,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Mesta 10.6px lon/lat 14.6635,27.5993",medium,pending,restore_legitimate,"No proven defect; nearest Mesta 10.6px lon/lat 14.6635,27.5993",proposed
e3_2830,10920,L000,"[4208.79, 1747.36]","[11284.79, 1889.36]",48.7458,47.6521,Kartaly,23.2,eastern_boundary_caspian,8739.0,229,0.4729,1,4,1,False,229,contact_eastern_boundary_caspian.png,exclude_as_crop_spill,"Eastern detached land local_x=4209/4306 neighbors=1; lon/lat 48.7458,47.6521; nearest Kartaly 23.2px",medium,pending,high_confidence_exclude,"Eastern detached land local_x=4209/4306 neighbors=1; lon/lat 48.7458,47.6521; nearest Kartaly 23.2px",proposed
e3_0822,822,L001,"[1057.16, 1709.21]","[8133.16, 1851.21]",-15.1386,48.4063,Holyhead,12.2,other,477.0,67,0.5324,2,5,2,False,67,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Holyhead 12.2px lon/lat -15.1386,48.4063",medium,pending,restore_legitimate,"No proven defect; nearest Holyhead 12.2px lon/lat -15.1386,48.4063",proposed
e3_0823,823,L001,"[1315.65, 1744.43]","[8391.65, 1886.43]",-9.8989,47.71,Fakenham,7.8,other,841.0,46,0.617,4,1,2,False,46,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Fakenham 7.8px lon/lat -9.8989,47.71",medium,pending,restore_legitimate,"No proven defect; nearest Fakenham 7.8px lon/lat -9.8989,47.71",proposed
e3_0825,825,L001,"[1262.4, 1850.58]","[8338.4, 1992.58]",-10.9784,45.6117,London,1.5,other,838.5,60,0.6987,4,1,2,False,60,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest London 1.5px lon/lat -10.9784,45.6117",medium,pending,restore_legitimate,"No proven defect; nearest London 1.5px lon/lat -10.9784,45.6117",proposed
e3_0826,826,L001,"[1013.41, 1953.67]","[8089.41, 2095.67]",-16.0255,43.5739,Falmouth,5.6,other,650.0,95,0.3316,4,1,2,False,95,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Falmouth 5.6px lon/lat -16.0255,43.5739",medium,pending,restore_legitimate,"No proven defect; nearest Falmouth 5.6px lon/lat -16.0255,43.5739",proposed
e3_0827,827,L001,"[1079.04, 1892.37]","[8155.04, 2034.37]",-14.6952,44.7858,Barnstaple,10.2,other,1294.5,109,0.4631,6,4,2,False,109,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Barnstaple 10.2px lon/lat -14.6952,44.7858",medium,pending,restore_legitimate,"No proven defect; nearest Barnstaple 10.2px lon/lat -14.6952,44.7858",proposed
e3_0828,828,L001,"[1079.74, 1927.12]","[8155.74, 2069.12]",-14.6809,44.0988,Torquay,14.8,other,1425.0,109,0.5373,6,1,2,False,109,contact_other.png,keep_as_legitimate_land,"No proven defect; nearest Torquay 14.8px lon/lat -14.6809,44.0988",medium,pending,restore_legitimate,"No proven defect; nearest Torquay 14.8px lon/lat -14.6809,44.0988",proposed
